material,pipe_m,pipe_km,breaks_total,breaks_per_km,breaks_A,breaks_A_label,breaks_B,breaks_B_label,breaks_C,breaks_C_label,breaks_D,breaks_D_label,breaks_E,breaks_E_label,breaks_F,breaks_F_label,breaks_G,breaks_G_label,breaks_S,breaks_S_label
AC,66663.0,66.663,451,6.765372,189,Full Circular,20,Split,53,Corrosion,139,Fitting,35,Joint,19,Diagonal Crack,52,Hole,19,Saddle
BDI,2958.077,2.958077,13,4.394747,6,Full Circular,0,Split,8,Corrosion,3,Fitting,1,Joint,0,Diagonal Crack,1,Hole,0,Saddle
CI,743109.003,743.109003,8228,11.0724,4116,Full Circular,474,Split,2439,Corrosion,900,Fitting,1293,Joint,170,Diagonal Crack,1449,Hole,62,Saddle
CIPP,510.598,0.510598,6,11.750923,0,Full Circular,0,Split,2,Corrosion,0,Fitting,0,Joint,0,Diagonal Crack,6,Hole,0,Saddle
CU,18891.632,18.891632,12,0.635202,5,Full Circular,1,Split,5,Corrosion,5,Fitting,0,Joint,0,Diagonal Crack,4,Hole,1,Saddle
DI,74484.565,74.484565,967,12.982556,51,Full Circular,5,Split,241,Corrosion,334,Fitting,27,Joint,3,Diagonal Crack,570,Hole,32,Saddle
ECI,21523.566,21.523566,197,9.152759,51,Full Circular,7,Split,56,Corrosion,28,Fitting,3,Joint,1,Diagonal Crack,108,Hole,3,Saddle
FPVC,1526.853,1.526853,1,0.654942,0,Full Circular,0,Split,0,Corrosion,1,Fitting,0,Joint,0,Diagonal Crack,1,Hole,0,Saddle
OTH,287.928,0.287928,0,0.0,0,Full Circular,0,Split,0,Corrosion,0,Fitting,0,Joint,0,Diagonal Crack,0,Hole,0,Saddle
PCCP,259818.944,259.818944,303,1.166197,94,Full Circular,18,Split,97,Corrosion,32,Fitting,68,Joint,4,Diagonal Crack,84,Hole,0,Saddle
PCI,18686.464,18.686464,151,8.080716,42,Full Circular,8,Split,40,Corrosion,31,Fitting,4,Joint,7,Diagonal Crack,68,Hole,0,Saddle
PDI,367309.626,367.309626,3355,9.133983,112,Full Circular,17,Split,975,Corrosion,1403,Fitting,44,Joint,12,Diagonal Crack,1849,Hole,120,Saddle
PE,42256.069,42.256069,462,10.933341,190,Full Circular,22,Split,130,Corrosion,32,Fitting,48,Joint,13,Diagonal Crack,179,Hole,5,Saddle
PEG,25.999,0.025999,0,0.0,0,Full Circular,0,Split,0,Corrosion,0,Fitting,0,Joint,0,Diagonal Crack,0,Hole,0,Saddle
PRIM,500.259,0.500259,6,11.993787,2,Full Circular,0,Split,1,Corrosion,0,Fitting,0,Joint,0,Diagonal Crack,3,Hole,1,Saddle
PVC,2878318.183,2878.318183,14329,4.978254,4487,Full Circular,425,Split,4213,Corrosion,3039,Fitting,746,Joint,166,Diagonal Crack,6195,Hole,38,Saddle
PVCG,140153.205,140.153205,3943,28.133499,1792,Full Circular,210,Split,939,Corrosion,460,Fitting,471,Joint,64,Diagonal Crack,1131,Hole,0,Saddle
PVCU,295.742,0.295742,12,40.575894,8,Full Circular,0,Split,3,Corrosion,4,Fitting,0,Joint,0,Diagonal Crack,3,Hole,0,Saddle
ST,142507.309,142.507309,229,1.606935,35,Full Circular,10,Split,50,Corrosion,33,Fitting,80,Joint,4,Diagonal Crack,65,Hole,4,Saddle
TUDI,10554.592,10.554592,88,8.337603,1,Full Circular,0,Split,37,Corrosion,42,Fitting,0,Joint,0,Diagonal Crack,35,Hole,16,Saddle
TWD,4534.274,4.534274,275,60.64918,93,Full Circular,3,Split,114,Corrosion,27,Fitting,27,Joint,3,Diagonal Crack,130,Hole,4,Saddle
UNK,917.467,0.917467,0,0.0,0,Full Circular,0,Split,0,Corrosion,0,Fitting,0,Joint,0,Diagonal Crack,0,Hole,0,Saddle
YDI,583404.787,583.404787,4346,7.449373,982,Full Circular,117,Split,1252,Corrosion,1259,Fitting,277,Joint,51,Diagonal Crack,1688,Hole,208,Saddle
YST,19352.623,19.352623,5,0.258363,1,Full Circular,0,Split,3,Corrosion,0,Fitting,0,Joint,0,Diagonal Crack,4,Hole,0,Saddle
YUDI,20168.052,20.168052,60,2.975002,4,Full Circular,1,Split,11,Corrosion,35,Fitting,1,Joint,0,Diagonal Crack,15,Hole,6,Saddle
