break_index,break_date,break_type,decoded,main_globalid,material,distance_m
1,2025-11-10T00:00:00.000,CG2,C;G,28dd9d5e-0dd5-496a-98fa-be8b22fe455d,CI,1.002
2,2025-11-09T00:00:00.000,D,D,36454994-3e4f-44ab-b70a-db98d75cdd81,YDI,0.715
3,2025-10-23T00:00:00.000,CG,C;G,68f2dd6a-f3f9-4ead-8c5d-4c5693a11cd7,CI,10.92
4,2025-10-20T00:00:00.000,CG,C;G,23085437-d543-4b9c-b7ea-c05c9a0adf9d,PDI,0.747
5,2025-10-12T00:00:00.000,D,D,eeeb6ae5-2d87-4462-8b51-2e282495d718,YDI,0.996
6,2025-10-11T00:00:00.000,D,D,ad99b87f-1cde-41d9-b393-456d13a6866a,YDI,0.75
7,2025-10-05T00:00:00.000,S,S,0d66eda9-f6df-4d46-92ee-2eac574abf38,PDI,0.693
8,2025-09-20T00:00:00.000,E,E,78c155d2-4c73-49f7-be32-cdf82332ceee,CI,0.619
9,2025-09-13T00:00:00.000,CG6,C;G,dea112be-c855-4dac-9c26-f25cdd2792f5,PDI,0.748
10,2025-09-03T00:00:00.000,CE,C;E,9a4f5c62-6eec-4f73-86cc-7b0c568d2db1,PCCP,0.995
11,2025-09-01T00:00:00.000,CG,C;G,d4dce05b-faac-4164-95f3-f410719672b5,PDI,0.819
12,2025-09-01T00:00:00.000,CG,C;G,d4dce05b-faac-4164-95f3-f410719672b5,PDI,0.817
13,2025-08-30T00:00:00.000,GC,C;G,9c8c8e61-a892-4202-a554-bdd1bd2a15c6,PDI,1.005
14,2025-08-24T00:00:00.000,CG,C;G,0488935b-5745-4cac-8ad0-556ba3537c16,CI,1.003
15,2025-08-24T00:00:00.000,AC,A;C,0488935b-5745-4cac-8ad0-556ba3537c16,CI,1.001
16,2025-08-18T00:00:00.000,G,G,40a6bcbb-ec15-40b9-b4c3-3d3948eea67d,YDI,0.445
17,2025-08-05T00:00:00.000,CD,C;D,26031c8f-88f7-4db6-a250-166df3446406,CI,0.997
18,2025-07-27T00:00:00.000,D,D,c4b6d81e-b1cf-493b-a3aa-26d11d5defac,CI,0.749
19,2025-07-19T00:00:00.000,CG,C;G,c3eb96ba-6ddd-4203-88cf-5bddbbe8b7ca,PDI,1.069
20,2025-07-18T00:00:00.000,CG,C;G,f9f3d16a-579f-4ee9-9d61-e1384e8e6cb2,ECI,0.686
21,2025-07-17T00:00:00.000,G,G,48c0b529-28a8-493f-8c00-28b029a7e82c,YDI,0.058
22,2025-07-16T00:00:00.000,CS,C;S,bcd0fe7d-50cf-46c9-bc8c-a58d49fc4f40,PDI,0.755
23,2025-07-12T00:00:00.000,CG,C;G,16dcc560-8e34-4d91-abee-5c2c37553313,CI,0.998
24,2025-07-09T00:00:00.000,CG,C;G,a1e347c7-da8a-4414-b76c-b337d60f0879,PDI,1.199
25,2025-07-05T00:00:00.000,CG,C;G,a8f31b2d-b302-4daa-821f-4fad64bec69f,CI,1.029
26,2025-07-03T00:00:00.000,CG,C;G,9b372d3b-15aa-497f-9033-6c6d43517ad5,CI,0.758
27,2025-07-03T00:00:00.000,D,D,41e05097-4b61-4788-a9d4-3b8d83028fc6,PVC,0.749
28,2025-07-01T00:00:00.000,G,G,f605dc78-21e6-4939-a4ef-9d3f30e31c01,PDI,0.824
29,2025-07-01T00:00:00.000,BC,B;C,b1574dc0-a5ca-476b-9d1b-953ac5ffc0e6,CI,0.66
