break_date,break_type,decoded,status,lon,lat,p_zone,nearest_main_distance_m
2025-11-10T00:00:00.000,CG2,C;G,ACTIVE,-114.0848656,50.9649909,GLENMORE,1.0
2025-11-09T00:00:00.000,D,D,ACTIVE,-113.9853642,50.9006734,OGDEN,0.713
2025-10-23T00:00:00.000,CG,C;G,RETIRED,-113.9943057,51.004898,FOOTHILLS,10.914
2025-10-20T00:00:00.000,CG,C;G,ACTIVE,-114.0311586,51.0853068,NORTH HILL,0.75
2025-10-12T00:00:00.000,D,D,ACTIVE,-114.121037,50.9414989,LOWER SARCEE,0.993
2025-10-11T00:00:00.000,D,D,ACTIVE,-114.1224356,50.9495431,UPPER SARCEE,0.751
2025-10-05T00:00:00.000,S,S,ACTIVE,-114.1363278,50.9680865,UPPER SARCEE,0.691
2025-09-20T00:00:00.000,E,E,ACTIVE,-114.0415499,51.0641644,NORTH HILL,0.62
2025-09-13T00:00:00.000,CG6,C;G,RETIRED,-113.9401333,51.0496214,GLENMORE,0.749
2025-09-03T00:00:00.000,CE,C;E,ACTIVE,-113.9352607,51.0524219,GLENMORE,0.994
2025-09-01T00:00:00.000,CG,C;G,ACTIVE,-114.1591577,51.0847539,SPY HILL WEST,0.819
2025-09-01T00:00:00.000,CG,C;G,ACTIVE,-114.1591635,51.084771,SPY HILL WEST,0.817
2025-08-30T00:00:00.000,GC,C;G,ACTIVE,-114.0484418,51.0828359,GREENVIEW,1.005
2025-08-24T00:00:00.000,CG,C;G,ACTIVE,-114.0060028,50.9867138,OGDEN,1.001
2025-08-24T00:00:00.000,AC,A;C,ACTIVE,-114.0060028,50.9867318,OGDEN,0.999
2025-08-18T00:00:00.000,G,G,ACTIVE,-114.0282408,50.9269959,OGDEN,0.443
2025-08-05T00:00:00.000,CD,C;D,ACTIVE,-114.1468598,51.0382589,GLENDALE,0.996
2025-07-27T00:00:00.000,D,D,ACTIVE,-114.06485,51.0743168,NORTH HILL,0.751
2025-07-19T00:00:00.000,CG,C;G,ACTIVE,-114.0412679,50.9515324,GLENMORE,1.066
2025-07-18T00:00:00.000,CG,C;G,ACTIVE,-114.0837157,50.9565699,GLENMORE,0.687
2025-07-17T00:00:00.000,G,G,ACTIVE,-114.1798943,51.0434084,BROADCAST HILL,0.058
