material,diam,year,count,family,LoF,CoF,RiskClass
CI,150,1910,486,CI,5.0,1.5,Low
PVC,200,2002,425,PVC,1.5,2.5,Very Low
PVC,200,1997,368,PVC,1.5,2.5,Very Low
PVC,200,1990,366,PVC,1.5,2.5,Very Low
YDI,150,1976,352,DI,2.5,1.5,Very Low
PVC,150,1989,351,PVC,1.5,1.5,Very Low
PVC,150,1991,350,PVC,1.5,1.5,Very Low
CI,150,1960,336,CI,4.5,1.5,Low
PVC,200,1998,336,PVC,1.5,2.5,Very Low
CI,150,1959,320,CI,4.5,1.5,Low
PVC,200,2003,317,PVC,1.5,2.5,Very Low
PVC,200,2001,312,PVC,1.5,2.5,Very Low
PVC,150,1990,305,PVC,1.5,1.5,Very Low
PVC,200,1994,305,PVC,1.5,2.5,Very Low
CI,150,1958,304,CI,4.5,1.5,Low
PVC,200,1989,295,PVC,1.5,2.5,Very Low
PVC,150,1992,294,PVC,1.5,1.5,Very Low
PVC,200,1991,293,PVC,1.5,2.5,Very Low
PVC,200,2011,287,PVC,1.5,2.5,Very Low
PVC,200,2004,286,PVC,1.5,2.5,Very Low
PVC,150,1997,286,PVC,1.5,1.5,Very Low
PVC,150,1987,280,PVC,1.5,1.5,Very Low
PVC,150,2023,274,PVC,1.5,1.5,Very Low
YDI,150,1977,272,DI,2.5,1.5,Very Low
PVC,200,1999,271,PVC,1.5,2.5,Very Low
YDI,300,1979,270,DI,2.5,2.5,Low
PVC,200,2010,268,PVC,1.5,2.5,Very Low
YDI,200,1979,267,DI,2.5,2.5,Low
PVC,150,1988,266,PVC,1.5,1.5,Very Low
PVC,200,2005,265,PVC,1.5,2.5,Very Low
PVC,250,2002,259,PVC,1.5,2.5,Very Low
PVC,150,1994,258,PVC,1.5,1.5,Very Low
PVC,200,1992,258,PVC,1.5,2.5,Very Low
PVC,200,2000,255,PVC,1.5,2.5,Very Low
PVC,250,1997,251,PVC,1.5,2.5,Very Low
CI,150,1954,249,CI,4.5,1.5,Low
PVC,150,1998,249,PVC,1.5,1.5,Very Low
PVC,200,2006,248,PVC,1.5,2.5,Very Low
PVC,200,2023,247,PVC,1.5,2.5,Very Low
YDI,200,1978,246,DI,2.5,2.5,Low
PVC,200,1996,244,PVC,1.5,2.5,Very Low
PVC,200,2022,243,PVC,1.5,2.5,Very Low
PVC,200,2017,242,PVC,1.5,2.5,Very Low
PVC,250,2017,241,PVC,1.5,2.5,Very Low
PVC,250,2003,238,PVC,1.5,2.5,Very Low
YDI,250,1979,237,DI,2.5,2.5,Low
YDI,300,1978,236,DI,2.5,2.5,Low
PVC,250,1998,236,PVC,1.5,2.5,Very Low
PVC,150,2004,235,PVC,1.5,1.5,Very Low
YDI,150,1978,234,DI,2.5,1.5,Very Low
PVC,250,2005,233,PVC,1.5,2.5,Very Low
YDI,150,1979,233,DI,2.5,1.5,Very Low
PVC,250,2023,233,PVC,1.5,2.5,Very Low
PDI,150,1973,232,DI,3.0,1.5,Low
PVC,200,1993,232,PVC,1.5,2.5,Very Low
PVC,150,1996,227,PVC,1.5,1.5,Very Low
YDI,300,1980,224,DI,2.5,2.5,Low
PVC,300,2011,223,PVC,1.5,2.5,Very Low
PDI,150,1972,221,DI,3.0,1.5,Low
PVC,250,2011,217,PVC,1.5,2.5,Very Low
PVC,200,2007,213,PVC,1.5,2.5,Very Low
PVC,150,2001,211,PVC,1.5,1.5,Very Low
CI,150,1950,210,CI,4.5,1.5,Low
PVC,200,2021,209,PVC,1.5,2.5,Very Low
CI,150,1953,208,CI,4.5,1.5,Low
PVC,250,2001,207,PVC,1.5,2.5,Very Low
PVC,150,1993,206,PVC,1.5,1.5,Very Low
PVC,200,2020,206,PVC,1.5,2.5,Very Low
PVC,250,2004,205,PVC,1.5,2.5,Very Low
YDI,200,1977,204,DI,2.5,2.5,Low
CI,150,1956,203,CI,4.5,1.5,Low
PDI,200,1974,201,DI,3.0,2.5,Low
YDI,250,1978,200,DI,2.5,2.5,Low
PVC,150,2022,200,PVC,1.5,1.5,Very Low
PVC,300,2007,199,PVC,1.5,2.5,Very Low
PVC,250,1990,198,PVC,1.5,2.5,Very Low
PVC,150,2002,198,PVC,1.5,1.5,Very Low
PVC,200,2014,197,PVC,1.5,2.5,Very Low
PVC,300,2010,196,PVC,1.5,2.5,Very Low
PDI,200,1972,195,DI,3.0,2.5,Low
PVC,300,1998,195,PVC,1.5,2.5,Very Low
YDI,200,1976,194,DI,2.5,2.5,Low
PVC,300,2012,194,PVC,1.5,2.5,Very Low
PVC,150,2000,194,PVC,1.5,1.5,Very Low
PVC,200,1995,193,PVC,1.5,2.5,Very Low
PVC,150,1995,192,PVC,1.5,1.5,Very Low
PVC,250,1999,192,PVC,1.5,2.5,Very Low
PVC,250,2018,191,PVC,1.5,2.5,Very Low
PVC,150,2003,190,PVC,1.5,1.5,Very Low
PVC,150,2021,190,PVC,1.5,1.5,Very Low
PVC,200,1987,189,PVC,1.5,2.5,Very Low
