globalid,functional_class,uplift_lof,min_dist_m,buffer_m,source_ctp_class
fd27ce5b-bcd1-4bc6-8f5e-af58a45da7b2,major_arterial,1.5,0.000,2.0,Arterial Street
008324c1-c112-4927-a4e8-50fd6c551e4b,major_arterial,1.5,0.000,2.0,Arterial Street
f72035b5-5723-4390-8a08-be04095eb3aa,major_arterial,1.5,0.000,2.0,Arterial Street
ab1e0d32-0401-43fe-bb45-f19eee94ee1d,major_arterial,1.5,0.020,2.0,Arterial Street
b1fdf05b-9e6a-4901-896d-2a09477b91f9,minor_arterial,1.0,1.239,2.0,Industrial Arterial
32f479c5-316c-448b-8d8f-ae491d2fad16,minor_arterial,1.0,0.000,2.0,Industrial Arterial
33d70ad4-8f11-45ff-85e9-96ef4166d0ec,major_arterial,1.5,0.000,2.0,Arterial Street
b95751ab-100a-4d24-b918-465b3af63b10,major_arterial,1.5,0.000,2.0,Arterial Street
55281f05-0063-4004-94ef-611f57e41b02,major_arterial,1.5,0.000,2.0,Arterial Street
5a5a3055-dd89-4203-b305-2944086ffc46,major_arterial,1.5,1.262,2.0,Arterial Street
67b447f9-1ef6-4b09-b724-e04873cbff43,major_arterial,1.5,1.262,2.0,Arterial Street
f9ab7e49-222a-4f67-9102-91c52386d6bb,major_arterial,1.5,0.000,2.0,Arterial Street
f2317f93-f61c-4ed9-8889-d7fe1a5d98ab,major_arterial,1.5,0.000,2.0,Arterial Street
408b3c37-6550-4b97-a1c8-6d4a42f445fe,major_arterial,1.5,0.597,2.0,Arterial Street
32b33c9b-8adb-4e96-a066-e223bf732589,major_arterial,1.5,0.786,2.0,Arterial Street
7ebcffc0-a95d-4f9b-a4fd-f37d464c24d2,major_arterial,1.5,1.766,2.0,Parkway
3de94423-b61c-4add-821d-b13a0ad01cd8,minor_arterial,1.0,0.000,2.0,Urban Boulevard
90588463-562b-4b21-b00c-ab8710ec2004,major_arterial,1.5,0.000,2.0,Arterial Street
a46bb6f3-0066-4c52-ba12-92165bf7167f,major_arterial,1.5,0.284,2.0,Arterial Street
f063fa7b-6cd3-4334-b860-5a6606fec5cf,major_arterial,1.5,0.000,2.0,Arterial Street
95703902-7676-44cc-9bbd-e2c7fe51ef42,major_arterial,1.5,1.474,2.0,Arterial Street
40185ffa-50a6-45da-92cc-246ca558d39b,major_arterial,1.5,0.000,2.0,Arterial Street
27e96d44-54fd-4d35-887a-2a35c0d56d3e,major_arterial,1.5,0.000,2.0,Arterial Street
54a8b630-d6a9-4e3d-b9fa-3bf9a4462508,major_arterial,1.5,0.000,2.0,Arterial Street
1e355c7e-6eb5-4375-ae96-c04120f42f77,collector,0.5,0.000,2.0,Neighbourhood Boulevard
d4478a03-bf9f-49da-8585-989067ef8ef3,major_arterial,1.5,0.000,2.0,Arterial Street
7aefe973-c1cf-4995-984d-eb6dfbfa89b9,expressway_freeway,2.0,0.000,2.0,Skeletal Road
5c48a319-8ca2-4bb6-8461-532cb2f768c5,expressway_freeway,2.0,0.000,2.0,Skeletal Road
e8e5f74b-ad40-485e-8a40-0a1c26ac25bf,expressway_freeway,2.0,0.000,2.0,Skeletal Road
0458e3f7-76ec-417d-bad2-7d04311bbaad,expressway_freeway,2.0,0.000,2.0,Skeletal Road
36b835f7-3b15-4803-8894-177013225bf4,minor_arterial,1.0,0.000,2.0,Urban Boulevard
7a793840-5e52-42ea-ae38-4221ea9ece01,minor_arterial,1.0,0.073,2.0,Urban Boulevard
458eee8f-f07e-4b8c-a41e-a31add306cd9,major_arterial,1.5,0.793,2.0,Arterial Street
a3f6aca1-edf0-4fbd-9a9b-73421358b63e,expressway_freeway,2.0,1.033,2.0,Skeletal Road
a969af79-b0a5-4966-a7e7-f88135b44655,minor_arterial,1.0,1.455,2.0,Urban Boulevard
51390856-6ff4-4f2c-87e2-0fc8e39cf159,major_arterial,1.5,1.077,2.0,Arterial Street
