segment_id,material,risk_method,risk_score,risk_band
64b4e43a-3e36-4431-a88b-aebb68373538,CON,PCCP_RULE,2.0,Medium
d4478a03-bf9f-49da-8585-989067ef8ef3,CON,PCCP_RULE,1.0,Low
8bd60280-d20b-495f-baae-3135f9c960d8,CON,PCCP_RULE,1.0,Low
458eee8f-f07e-4b8c-a41e-a31add306cd9,CON,PCCP_RULE,2.0,Medium
4ec02459-8053-4c29-91fb-98cc13bdf089,CON,PCCP_RULE,2.0,Medium
e0f45bd7-86d4-4ec4-ace6-f8689a282dbf,CON,PCCP_RULE,2.0,Medium
5794aa19-fc26-492c-a45a-c59bdfaec828,CON,PCCP_RULE,1.0,Low
6f3712ac-cc88-4858-b7c7-a95e70d88692,CON,PCCP_RULE,1.0,Low
1df9e9b5-6ba0-4948-a72a-a0a065d56eed,CON,PCCP_RULE,1.0,Low
4658b41a-f1a5-49ee-9cc9-01600df57d04,CON,PCCP_RULE,2.0,Medium
fb759f4a-0e45-4117-9433-1c22d89bd885,CON,PCCP_RULE,1.0,Low
fac2819a-11ee-47ee-af47-7f97a1c75b64,CON,PCCP_RULE,2.0,Medium
9aac2b03-9e14-4645-9bc7-18481278523e,CON,PCCP_RULE,3.0,High
51956cc2-fa47-4bb5-b120-39defa4f3276,CON,PCCP_RULE,1.0,Low
9c1e9869-bc1d-4574-b4ec-56e69215532a,CON,PCCP_RULE,2.0,Medium
b3e5ab83-dd56-45c6-8abe-aa450a21eb34,CON,PCCP_RULE,2.0,Medium
80d213e6-e93a-44a4-819f-b65b088e2ea5,CON,PCCP_RULE,2.0,Medium
3cb36de5-a3cb-4aa6-a37a-21edd2fc28a7,CON,PCCP_RULE,1.0,Low
11fe6a63-ccbc-4b49-ac2f-bb10c0ff91cb,CON,PCCP_RULE,2.0,Medium
b157bd63-cb1a-4f0b-818d-684ab5797b93,CON,PCCP_RULE,2.0,Medium
34db6d08-49e4-418a-8be8-c13b503535fc,CON,PCCP_RULE,1.0,Low
726be236-eec9-4d7a-b405-d1263d21d674,CON,PCCP_RULE,1.0,Low
a605bc7a-dbfd-409c-baed-63173e9c3e5a,CON,PCCP_RULE,1.0,Low
8162007c-8866-42c5-99c3-35cf07a058fb,CON,PCCP_RULE,1.0,Low
df481398-02a1-45c4-9dc8-cc89b31d45d4,CON,PCCP_RULE,1.0,Low
6ccb998d-2a09-4440-9f65-b7233e502a88,CON,PCCP_RULE,3.0,High
91906961-071e-46b1-be8f-7a548bea3b9f,CON,PCCP_RULE,2.0,Medium
bc2b3042-05ce-487f-a725-c7d8dfc385fb,CON,PCCP_RULE,1.0,Low
54a37261-2936-4a65-ab5f-15edbc628b65,CON,PCCP_RULE,1.0,Low
a9cd92c1-f97d-4b52-9083-c2f7fd689350,CON,PCCP_RULE,1.0,Low
1ea300b4-09b4-478d-b053-9e9b0f77ea9b,CON,PCCP_RULE,2.0,Medium
928f6037-b3b4-45b4-b8d3-48fdf4831a6b,CON,PCCP_RULE,2.0,Medium
d5f3b0a7-94a9-41da-902c-fa278ec5b28f,CON,PCCP_RULE,3.0,High
6e3b3bac-540e-4abe-b0e3-1f3221208d75,CON,PCCP_RULE,3.0,High
06210fe0-3dfe-4097-b0f9-c5455e549af4,CON,PCCP_RULE,1.0,Low
4dbd48d5-78b0-4693-b392-036c4b51ccc8,CON,PCCP_RULE,1.0,Low
0f83e5e8-8ffe-4c18-8667-afe8c70a0b62,CON,PCCP_RULE,1.0,Low
4ab81d5f-0516-4b54-88a5-33d14f5d756f,CON,PCCP_RULE,2.0,Medium
b97ed2d9-b9ee-4fd4-b6f2-48d184916e11,CON,PCCP_RULE,2.0,Medium
e330f6c8-7a45-42be-a865-374765595386,CON,PCCP_RULE,2.0,Medium
680a94e5-28f0-4e07-90f0-16b19b460337,CON,PCCP_RULE,2.0,Medium
6931cea7-8e42-43ce-a4a3-16e123706b37,CON,PCCP_RULE,2.0,Medium
96de7528-8c0d-4690-b952-0e6ace8c6683,CON,PCCP_RULE,2.0,Medium
45af7c9b-f176-44ac-a087-61caea1a6715,CON,PCCP_RULE,2.0,Medium
e8d114f3-57a2-4d6c-8988-fb6ce7ad4005,CON,PCCP_RULE,1.0,Low
9df1fd31-c4a1-490f-a6cc-173b49ab2e73,CON,PCCP_RULE,2.0,Medium
65b35a7f-2d21-4af2-b2b6-cfcce244408e,CON,PCCP_RULE,2.0,Medium
58c985e5-b01d-4288-b2b0-d852b3f9edef,CON,PCCP_RULE,2.0,Medium
cc23a43e-f4a0-4f9f-8f8d-aae8fc69d41b,CON,PCCP_RULE,1.0,Low
dea0cf0f-b205-48e9-a645-68c2e77289f1,CON,PCCP_RULE,1.0,Low
64cb4f08-7999-4e94-b919-1366ee95b220,CON,PCCP_RULE,1.0,Low
289b78ed-4bc6-438b-8de3-c9c3d1eee9be,CON,PCCP_RULE,2.0,Medium
912ffe4c-e6b7-4d64-9941-e2ce93093f97,CON,PCCP_RULE,2.0,Medium
7fd54c51-b0cc-4510-8c3e-9156a1c20802,CON,PCCP_RULE,2.0,Medium
4b0f2420-b2eb-4074-9b7f-8f001ea96428,CON,PCCP_RULE,1.0,Low
690311d4-bd76-4641-983e-78950db62153,CON,PCCP_RULE,1.0,Low
8e31d327-54d9-4800-85f2-15945f317d98,CON,PCCP_RULE,1.0,Low
460da3da-54e4-477d-9bf1-acb82fb7dfba,CON,PCCP_RULE,1.0,Low
016df749-7ecd-4d9f-b0c9-e5462e5c7566,CON,PCCP_RULE,1.0,Low
c84e7fc3-92e5-4efe-9504-7c44ab6006e9,CON,PCCP_RULE,1.0,Low
d7a99a86-c3c2-4cda-b14f-dd8181e33e6c,CON,PCCP_RULE,1.0,Low
e404492a-1566-46d8-8e1c-aad5ccdc062d,CON,PCCP_RULE,1.0,Low
88f5a68e-1b2b-4b82-a143-b719addcec5d,CON,PCCP_RULE,1.0,Low
63a03839-2aef-4bb5-8d87-43b3e9d3c094,CON,PCCP_RULE,2.0,Medium
bb53e1aa-c412-486d-8a7e-844aa6ef050e,CON,PCCP_RULE,2.0,Medium
ecd16273-f261-4d60-b2c9-d25ed34e8ec5,CON,PCCP_RULE,1.0,Low
276450b2-a581-4019-b9ea-bb103310336b,CON,PCCP_RULE,1.0,Low
07bf657b-68ae-41ce-a2e1-35e53704a5ef,CON,PCCP_RULE,1.0,Low
8050edb3-599f-42e5-839f-86b76d34f95b,CON,PCCP_RULE,2.0,Medium
93c8e047-5300-4b1a-8a62-56de5b4ddb1b,CON,PCCP_RULE,2.0,Medium
55e34572-1a02-4799-8ab3-610abb57773b,CON,PCCP_RULE,2.0,Medium
6da35cdf-0d62-41d5-91c8-ebf7e0b1215a,CON,PCCP_RULE,2.0,Medium
8abba8b3-676f-4d76-80cd-685a2b539ae7,CON,PCCP_RULE,2.0,Medium
9a6e101e-8015-464d-ba69-bf23dbb55986,CON,PCCP_RULE,1.0,Low
c8d9880d-6d76-49bb-b989-8475e4dbf40b,CON,PCCP_RULE,3.0,High
d9371124-e0cf-41c6-a833-5d65572de3d6,CON,PCCP_RULE,3.0,High
e78e13f0-ad58-4b92-99e7-57c55ec4bb5b,CON,PCCP_RULE,1.0,Low
a336e093-6a74-426c-9216-9f43d1d59ddf,CON,PCCP_RULE,2.0,Medium
a788828c-adae-4748-8c85-c16fc9ab7ab1,CON,PCCP_RULE,2.0,Medium
1862e1c7-aa4e-423f-951a-5252113a6302,CON,PCCP_RULE,3.0,High
22a080d8-0f12-4131-8f29-5db6990b8d2e,CON,PCCP_RULE,3.0,High
bbd21248-c68d-49f6-a942-dc20fcd42d5d,CON,PCCP_RULE,2.0,Medium
d335772a-0dcc-4462-bf81-11f8bc55af89,CON,PCCP_RULE,1.0,Low
427e33ee-e494-413c-b762-4cc9d3d81230,CON,PCCP_RULE,1.0,Low
07988991-8556-4434-bdf2-de74ad85b94a,CON,PCCP_RULE,2.0,Medium
e353aecb-37de-4ec8-b606-c34c31d2f373,CON,PCCP_RULE,1.0,Low
fb43613c-2d07-443b-a3c5-59398a8bbc24,CON,PCCP_RULE,1.0,Low
e6c28d0e-10b2-4d60-b610-f025c672b650,CON,PCCP_RULE,1.0,Low
80b966be-4597-42e6-8c15-3115312a4f02,CON,PCCP_RULE,1.0,Low
7d3ee9f9-3643-4f93-861c-bb18f569f4fd,CON,PCCP_RULE,2.0,Medium
70606f35-268f-4d3a-84b2-b8eb046c9ba8,CON,PCCP_RULE,2.0,Medium
21e1a861-e5f8-4041-8be1-e907a93bf3e3,CON,PCCP_RULE,1.0,Low
92b6eced-59d5-496c-83ad-0474759f0968,CON,PCCP_RULE,3.0,High
5b618eb8-0f89-41b9-be2b-dc516696461b,CON,PCCP_RULE,2.0,Medium
8507365a-075c-4a40-ab22-832eae0a41fb,CON,PCCP_RULE,3.0,High
fe4b8396-8497-43e1-ab0e-b9a95050d111,CON,PCCP_RULE,2.0,Medium
d10cd644-f123-4bb2-9307-c902840783d8,CON,PCCP_RULE,2.0,Medium
e5292bf5-ddc9-42f0-b3f7-ff1cb6443b1d,CON,PCCP_RULE,1.0,Low
d1ff7320-6438-4789-a1d8-74be841a9585,CON,PCCP_RULE,2.0,Medium
2ca88021-835f-461d-b9b5-4d856e2778a3,CON,PCCP_RULE,2.0,Medium
00f5578b-8415-4ea7-bad5-d7eda9035306,CON,PCCP_RULE,3.0,High
6a1e5319-e88d-4286-bc33-d2b7f2b06225,CON,PCCP_RULE,1.0,Low
03263b79-9ce5-4247-8ff7-e290e63b12ca,CON,PCCP_RULE,3.0,High
5366d65e-bed4-4c9b-b109-5777a2e3a57a,CON,PCCP_RULE,2.0,Medium
81e4bb96-8879-4a03-adf8-1af5072d4434,CON,PCCP_RULE,3.0,High
4a26d656-72fa-4926-9179-3530f8bd60a5,CON,PCCP_RULE,2.0,Medium
28098e06-c857-4fa9-91e8-5b43e7a1dd05,CON,PCCP_RULE,2.0,Medium
b84cdbd4-fcbf-4821-a996-2a0c63e41eac,CON,PCCP_RULE,2.0,Medium
63b87e75-a3be-4371-b646-d9fc41e602b4,CON,PCCP_RULE,1.0,Low
459d4c31-8352-436d-b8be-3e63b7777f66,CON,PCCP_RULE,1.0,Low
84ec5844-3d07-4e75-bda2-89b0cf0a7e95,CON,PCCP_RULE,1.0,Low
8656b828-62d0-4c71-aee5-dd26a355f940,CON,PCCP_RULE,3.0,High
6038db23-60fc-4fc1-96ac-e6864c29ef4e,CON,PCCP_RULE,2.0,Medium
6ecb67d8-9504-4363-87cb-11bfec10cf2a,CON,PCCP_RULE,3.0,High
b25f2115-a82a-4716-bdab-44c2f681f8d9,CON,PCCP_RULE,2.0,Medium
e567c404-e942-4dfe-a6c8-da090e20cc9e,CON,PCCP_RULE,1.0,Low
50176201-4c76-43ad-8ca2-0826474c25ca,CON,PCCP_RULE,2.0,Medium
af956cc0-493f-4d87-b7d5-074ccdcfb7c4,CON,PCCP_RULE,2.0,Medium
9e30d4f5-5c30-413e-a364-bc608ac1bba8,CON,PCCP_RULE,1.0,Low
3718b9c7-aaa5-439b-8c03-bfd2e1f53492,CON,PCCP_RULE,1.0,Low
322614a1-0d0d-435f-97b0-f49561da9919,CON,PCCP_RULE,1.0,Low
4d534952-3d8e-437f-ba0d-dec0d07ba499,CON,PCCP_RULE,1.0,Low
5c869704-3f13-4af3-a9f8-a1df22863dac,CON,PCCP_RULE,2.0,Medium
a030baf3-149a-46cb-a8d6-07b04237389f,CON,PCCP_RULE,2.0,Medium
57f95739-715f-4356-9a92-49ccd51d2363,CON,PCCP_RULE,1.0,Low
d36c7f36-61b0-4b41-8995-b48027c208e2,CON,PCCP_RULE,1.0,Low
67d4b707-ef14-4fc3-bfe6-57452dfbd7d6,CON,PCCP_RULE,2.0,Medium
27ab747a-77f5-489a-a193-47e637a612b2,CON,PCCP_RULE,3.0,High
486ec42c-3d2e-488b-b99a-ca20e767efa5,CON,PCCP_RULE,2.0,Medium
ccdfa164-0c6c-450b-bfb6-b364bf160719,CON,PCCP_RULE,1.0,Low
